Year,"Adjusted net enrollment rate, primary, female (% of primary school age children)","Adjusted net enrollment rate, primary, male (% of primary school age children)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Repeaters, primary, female (% of female enrollment)","Repeaters, primary, male (% of male enrollment)","School enrollment, preprimary, female (% gross)","School enrollment, preprimary, male (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, secondary, female (% net)","School enrollment, secondary, male (% net)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)"
2006,93.20646,95.93748,88.786979675293,95.1585388183594,96.2723617553711,97.027473449707,98.7523880004883,96.419677734375,2.86538,4.45581,35.2723617553711,34.0829811096191,108.652816772461,110.483093261719,90.35039,93.17688,66.6829223632812,64.7873992919922,57.81846,57.34547,16.4300098419189,17.462610244751
2007,95.18329,98.65955,,,,,100.195686340332,100.343017578125,2.65043,3.95185,41.8648796081543,39.9447288513184,110.832832336426,113.551483154297,91.99975,95.55935,74.2414703369141,72.0823593139648,65.05054,64.63926,17.9993095397949,17.6026401519775
2008,95.19553,96.95193,89.1013870239258,95.383186340332,99.3824081420898,99.537483215332,99.4838409423828,98.9233016967773,2.19344,3.58357,44.152961730957,42.8119201660156,110.314682006836,111.279342651367,92.23255,93.99772,72.0031890869141,70.8812866210938,63.80221,64.24349,20.2603206634521,21.3310508728027
2009,95.77599,97.8499,89.677116394043,95.6470108032227,99.3965911865234,99.5500335693359,101.538642883301,98.9288177490234,2.71614,4.33093,46.8088111877441,44.2560005187988,111.263687133789,113.046760559082,92.68116,94.79157,76.4228210449219,75.2602996826172,64.28802,65.22731,22.940580368042,23.1524906158447
2010,97.57204,96.95146,,,,,98.2856140136719,106.565528869629,2.71795,3.88661,42.3936500549316,40.5448608398438,116.00227355957,112.042633056641,94.47534,93.99594,77.9832763671875,76.0621566772461,66.52676,66.76686,22.8171005249023,24.7478694915771
2011,98.75686,95.00778,90.0687026977539,95.5910873413086,98.7518005371094,98.803840637207,104.583457946777,100.250457763672,2.91999,2.81038,44.4533615112305,41.8012886047363,117.515846252441,113.557777404785,95.58735,91.98809,80.3278427124023,78.7871932983398,73.10344,72.74204,24.1077499389648,26.7422103881836
2012,96.39396,95.52497,,,,,110.772529602051,107.559219360352,2.71602,3.07963,50.951789855957,49.1220703125,115.588447570801,116.319107055664,93.29728,92.43378,83.0290679931641,80.1083297729492,75.29503,73.1072,30.8710308074951,28.3287601470947
2013,94.14146,93.33495,,,,,108.720542907715,105.693099975586,1.8094,2.18441,55.321460723877,53.4271392822266,112.431121826172,113.343162536621,90.99734,90.17779,83.4393310546875,85.5210723876953,74.33205,76.34101,32.6823387145996,28.3118896484375
2014,92.59846,93.71928,93.4508972167969,96.7910079956055,99.6788330078125,99.6815567016602,106.442291259766,112.81330871582,2.03958,2.37336,58.8050994873047,56.996898651123,109.357360839844,112.702102661133,89.41192,90.55565,85.0775527954102,85.4386520385742,74.88044,75.52886,32.7231903076172,28.4416007995605
2015,,,93.3357086181641,97.1065216064453,99.6370162963867,99.7017593383789,106.067832946777,112.807029724121,1.14939,2.09589,,,107.468147277832,111.157493591309,,,89.7537384033203,89.3442687988281,76.28108,75.28854,35.169319152832,31.0060195922852
2016,91.35384,95.76143,93.5869216918945,97.1744384765625,99.6535110473633,99.6834487915039,107.52417755127,108.382102966309,1.22026,2.20074,58.7802505493164,64.8138122558594,105.206901550293,109.098541259766,90.33389,95.07411,90.5080032348633,87.9027709960938,,,37.9870910644531,33.0921287536621
2017,92.76452,96.99213,,,99.2900009155273,99.9300003051758,105.219261169434,107.121726989746,0.96458,1.81293,59.9630508422852,66.2654724121094,103.704223632812,107.554039001465,91.77869,96.28794,93.0130462646484,91.0240783691406,,,39.3456192016602,34.0581398010254
2018,92.01633,96.60866,93.9921798706055,97.3313369750977,99.6962509155273,99.7174835205078,103.938758850098,105.955856323242,0.9885,1.64682,59.128978729248,65.4104919433594,102.872863769531,106.740249633789,90.9674,95.88766,95.164680480957,93.2387237548828,79.88474,77.64231,39.5933685302734,34.1368598937988
2019,,,,,,,104.211196899414,104.990730285645,,,,,100.881828308105,104.224891662598,,,96.8309783935547,94.790885925293,,,40.1930503845215,35.7714347839355
2020,,,94.5523529052734,97.4493103027344,99.7814483642578,99.7776718139648,102.370307922363,103.87614440918,,,,,100.612648010254,104.170478820801,,,98.4051818847656,97.7021408081055,,,41.4426002502441,35.9967155456543
2021,,,,,,,102.089614868164,104.608123779297,,,,,100.171264648438,103.717628479004,,,99.5992889404297,98.6203308105469,,,44.4789848327637,37.6986351013184
2022,,,,,,,101.527946472168,104.370239257812,,,,,98.8095092773438,102.387107849121,,,99.3765411376953,98.5876846313477,,,46.9751281738281,38.50830078125
2023,,,,,,,,,,,,,,,,,,,,,,
