Year,"Adjusted net enrollment rate, primary Disparity","School enrollment, preprimary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity","School enrollment, tertiary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity"
2001,-1.458882134623284,3.540826651908042,0.0843268617177584,-1.415989609912711,0.27543910408991046,-1.2507279947187553,-22.137997896173882,0.0843268617177584,-1.415989609912711,0.27543910408991046,-1.2507279947187553
2002,-0.8905502359906371,2.6305216607279713,0.059090672314547774,-0.9894122149182569,1.1975533308463153,-1.2036459247510056,-11.611395229030913,0.059090672314547774,-0.9894122149182569,1.1975533308463153,-1.2036459247510056
2003,-1.617497990325551,6.00036176136562,0.25923583006302436,-1.7941486935586042,1.2394958100965268,-1.312912846171987,-18.3190336138029,0.25923583006302436,-1.7941486935586042,1.2394958100965268,-1.312912846171987
2004,-1.7004215735947414,8.876208108659691,0.3811007817271563,-1.851533462816447,1.708341785265802,-0.7790381894203161,-18.419501177190934,0.3811007817271563,-1.851533462816447,1.708341785265802,-0.7790381894203161
2005,-2.855042954429894,3.305548945492877,-1.5126310239450431,-3.0684349815343706,1.3432156299224884,-1.0001757342495678,-18.419501177190934,-1.5126310239450431,-3.0684349815343706,1.3432156299224884,-1.0001757342495678
2006,-2.8466663914874424,3.489661429341135,-1.6566122790591518,-3.0334671004223286,2.9257588543506796,0.8248079578038211,-5.913207638259501,-1.6566122790591518,-3.0334671004223286,2.9257588543506796,0.8248079578038211
2007,-3.5234906301518674,4.8070191288143365,-2.394201064002685,-3.7250148729559056,2.9953390031879974,0.6362696602653016,2.253465300617637,-2.394201064002685,-3.7250148729559056,2.9953390031879974,0.6362696602653016
2008,-1.8116194283084401,3.1324022836189775,-0.8668820479585733,-1.8778859742555432,1.58279077497223,-0.6868867180160854,-5.01958490341323,-0.8668820479585733,-1.8778859742555432,1.58279077497223,-0.6868867180160854
2009,-2.11948096012363,5.76828145114679,-1.57728838621705,-2.2263688638135095,1.5446674637321542,-1.440025657964432,-0.9152805688113698,-1.57728838621705,-2.2263688638135095,1.5446674637321542,-1.440025657964432
2010,0.6400935065856708,4.559860798118652,3.534048062693498,0.5100220286110211,2.525723400262337,-0.35960954281809604,-7.80175831835517,3.534048062693498,0.5100220286110211,2.525723400262337,-0.35960954281809604
2011,3.946076837075876,6.344476438445737,3.4855110218890326,3.9127456608784907,1.9554566542668863,0.49682411986246644,-9.851318985893817,3.4855110218890326,3.9127456608784907,1.9554566542668863,0.49682411986246644
2012,0.9096993173617441,3.7248420757042022,-0.6281508716477314,0.9341822870383555,3.6459856652774314,2.9926327365840724,8.974168467662796,-0.6281508716477314,0.9341822870383555,3.6459856652774314,2.9926327365840724
2013,0.8641028896463636,3.545616454670598,-0.8046720155301054,0.9088157959958792,-2.43418525386419,-2.6315606775440905,15.436797474248781,-0.8046720155301054,0.9088157959958792,-2.43418525386419,-2.6315606775440905
2014,-1.1959332167297858,3.172454780828813,-2.9677723328248744,-1.2630134066731398,-0.422641549870163,-0.8585062716423916,15.05396808791038,-2.9677723328248744,-1.2630134066731398,-0.422641549870163,-0.8585062716423916
2015,-1.1959332167297858,3.172454780828813,-3.3190261801346157,-1.2630134066731398,0.4583053955191948,1.3183148457919431,13.427391246255615,-3.3190261801346157,-1.2630134066731398,0.4583053955191948,1.3183148457919431
2016,-4.602677716905438,-9.309067768957762,-3.567086841433488,-4.985815802009619,2.9637657712579495,1.3183148457919431,14.791923321793854,-3.567086841433488,-4.985815802009619,2.9637657712579495,1.3183148457919431
2017,-4.358714464771522,-9.510867938326951,-3.5794242637420237,-4.683089076368244,2.18510083391529,1.3183148457919431,15.524862577713684,-3.5794242637420237,-4.683089076368244,2.18510083391529,1.3183148457919431
2018,-4.7535386579215615,-9.603219647928542,-3.6231748356655302,-5.131275494677833,2.065618927965372,2.888154667216881,15.984213701699657,-3.6231748356655302,-5.131275494677833,2.065618927965372,2.888154667216881
2019,-4.7535386579215615,-9.603219647928542,-3.2075479294479172,-5.131275494677833,2.152203187413557,2.888154667216881,12.36074434054206,-3.2075479294479172,-5.131275494677833,2.152203187413557,2.888154667216881
2020,-4.7535386579215615,-9.603219647928542,-3.4153925860966217,-5.131275494677833,0.7195759180353336,2.888154667216881,15.128837789889015,-3.4153925860966217,-5.131275494677833,0.7195759180353336,2.888154667216881
2021,-4.7535386579215615,-9.603219647928542,-3.4192488611363823,-5.131275494677833,0.9926534638820175,2.888154667216881,17.98566370698173,-3.4192488611363823,-5.131275494677833,0.9926534638820175,2.888154667216881
2022,-4.7535386579215615,-9.603219647928542,-3.494188523275005,-5.131275494677833,0.8001572501650662,2.888154667216881,21.987018956444484,-3.494188523275005,-5.131275494677833,0.8001572501650662,2.888154667216881
2023,-4.7535386579215615,-9.603219647928542,-3.494188523275005,-5.131275494677833,0.8001572501650662,2.888154667216881,21.987018956444484,-3.494188523275005,-5.131275494677833,0.8001572501650662,2.888154667216881
